top_player_x,top_player_y,bottom_player_x,bottom_player_y,ball_x,ball_y,ball_speed,bounce_x,bounce_y
95,132,106,335,120,272,,,
95,134,106,335,120,274,1.36,,
96,134,106,335,119,277,2.14,,
96,134,106,335,119,277,0.0,,
96,135,106,335,119,280,2.04,,
119,331,,,,,,,
119,331,10,222,69,-156,,,
118,330,,,68,-166,6.82,,
74,53,118,330,68,-173,4.75,,
118,331,,,,,,,
73,54,118,331,,,,,
73,52,118,330,,,,,
74,52,119,331,68,-168,,,
75,54,119,330,69,-143,16.99,,
74,52,118,328,69,-135,5.43,,
118,326,,,,,,,
116,327,,,,,,,
116,326,,,90,15,,,
116,326,,,100,73,39.94,,
74,58,116,326,107,130,38.99,,
116,326,,,112,156,17.96,,
116,326,,,115,179,15.75,,
116,326,,,117,202,15.68,,
116,325,,,121,222,13.84,,
116,324,,,124,229,5.15,124,229
117,322,,,127,232,2.84,,
116,322,,,132,234,3.57,,
117,322,,,135,240,4.53,,
73,61,116,322,,,,,
73,60,116,322,142,250,,,
74,64,116,321,146,254,3.79,,
116,322,,,,,,,
74,67,115,320,156,274,,,
74,71,115,320,160,281,5.44,,
93,54,42,332,,,,,
91,53,42,331,,,,,
91,56,43,333,,,,,
91,56,42,332,,,,,
90,55,42,333,,,,,
42,312,,,,,,,
46,306,,,,,,,
54,306,,,65,260,,,
82,54,68,305,,,,,
74,322,,,119,49,,,
80,318,,,,,,,
96,325,,,121,279,,,
118,338,,,,,,,
101,326,,,83,-127,,,
102,31,81,321,,,,,
64,312,,,53,234,,,
94,32,44,308,,,,,
35,305,,,71,97,,,
50,308,,,,,,,
61,306,,,42,256,,,
61,309,,,,,,,
59,309,,,68,272,,,
60,310,,,,,,,
60,309,,,120,76,,,
114,28,61,309,132,15,42.18,,
124,28,71,297,130,108,63.17,,
122,32,86,291,,,,,
104,298,,,115,279,,,
117,301,,,,,,,
115,305,,,79,65,,,
100,308,,,,,,,
114,312,,,165,-172,,,
119,312,,,,,,,
131,311,,,82,72,,,
41,30,101,312,67,25,33.42,,
47,43,4,189,,,,,
47,41,4,190,91,171,,,
160,169,4,190,,,,,
159,169,4,190,65,-51,,,
159,169,4,189,62,-19,21.82,,
158,172,4,189,46,-26,11.59,,
159,169,4,189,,,,,
159,171,4,189,48,8,,,
159,171,81,306,67,-25,25.69,,
159,172,90,303,,,,,
66,27,125,305,,,,,
103,27,108,309,,,,,
101,28,23,349,,,,,
159,169,51,313,,,,,
113,44,23,348,65,41,,,
160,168,59,312,,,,,
124,51,4,189,158,165,,,
159,168,4,189,,,,,
102,40,4,190,57,166,,,
159,168,52,310,,,,,
160,169,70,308,158,167,,,
72,29,141,349,,,,,
160,167,141,349,83,292,,,
48,33,141,347,,,,,
